,rank,sum_expose,sum_click,ctr
1265,1,1335019,220632,0.16526506364328802
1148,2,1299373,118115,0.09090153481717701
663,3,1050868,84988,0.080874096461211
84,4,940139,59247,0.06301940457740801
805,5,885478,44943,0.05075563706834001
529,6,846866,39698,0.046876365328162
1966,7,820937,34974,0.042602538319018
1735,8,803311,28458,0.035425881134454
1552,9,787532,25816,0.032780890173351
209,10,773163,23116,0.029897964594787003
541,11,762855,20699,0.027133596817219004
1865,12,754460,19697,0.026107414574662
1786,13,747127,17366,0.023243705554745003
1421,14,740232,15528,0.020977207145867
382,15,734949,14659,0.019945601667598
1383,16,730582,13962,0.019110791122693
1047,17,727751,12801,0.01758980750284
785,18,725839,12235,0.016856355197226003
16,19,724580,11658,0.016089320709928003
890,20,722185,12150,0.016823944003267
1464,21,609372,9824,0.016121515264895
354,22,608051,9354,0.015383578022238002
1203,23,434224,8748,0.020146283945613002
1170,24,430774,8044,0.018673364687748002
699,25,427709,8226,0.019232702608549
0,26,424879,7779,0.018308742018315
871,27,421784,7552,0.017904899190106002
457,28,419398,7134,0.017010095422486
1949,29,417195,6659,0.015961360994259002
1621,30,415354,6215,0.014963139875864001
877,31,413482,6033,0.014590719789495001
400,32,411956,5875,0.014261231782034001
1897,33,410909,5482,0.013341153394060001
1705,34,409484,5855,0.014298482968809001
1522,35,408182,5646,0.013832065108211
265,36,407766,5348,0.013115365184934
1300,37,407338,5030,0.012348467366167001
1078,38,406493,5052,0.012428258297190001
731,39,405752,4674,0.011519351722234
109,40,405125,4573,0.011287874112928
786,41,383774,4342,0.01131395039789
17,42,383309,4307,0.011236365438849
891,43,280063,4011,0.014321777600039002
542,44,278999,3892,0.013949870788067002
1866,45,277778,3568,0.012844789724168
1787,46,275759,3436,0.012460155425570002
1422,47,274390,3251,0.011848099420532
383,48,273817,2938,0.010729793986494
1384,49,273350,2729,0.009983537589171
1048,50,273024,2506,0.009178680262541001
1684,51,272756,2299,0.008428778835296
1498,52,272426,2233,0.008196721311475001
224,53,271990,2222,0.008169417993308
1327,54,271725,2080,0.007654798049498
1010,55,271084,2001,0.007381475852503001
632,56,270272,1929,0.007137254321572001
44,57,270026,1762,0.006525297563938001
966,58,269882,1812,0.006714045397618
568,59,269599,1835,0.006806405068268
1809,60,269342,1811,0.006723793541296001
1094,61,259250,1718,0.006626808100289001
770,62,259028,1735,0.006698117578022001
176,63,194773,1683,0.008640828040847
952,64,194064,1486,0.007657267705499001
413,65,193647,1439,0.0074310472147770005
1930,66,193292,1437,0.007434348033027001
1676,67,192775,1436,0.0074490986901820004
1511,68,192606,1372,0.007123350259078001
259,69,192374,1296,0.006736877124767
1342,70,192230,1307,0.006799146855329
1928,71,192057,1323,0.006888579952826001
1650,72,191920,1270,0.006617340558566001
1550,73,191742,1238,0.0064565927131240005
249,74,191640,1192,0.006219995825506
1361,75,191490,1268,0.0066217557052580004
1034,76,191238,1155,0.006039594641232
601,77,191120,1122,0.005870657178735
95,78,190950,1150,0.006022518984027001
981,79,190872,1187,0.006218827276918
591,80,190668,1150,0.006031426353661
944,81,185649,1029,0.005542717709225001
574,82,185555,1075,0.005793430519253
1902,83,143766,1026,0.007136596970076001
1652,84,143658,998,0.006947054810731001
1504,85,143553,954,0.006645629140456
330,86,143384,922,0.006430285108519
1276,87,143175,1073,0.0074943251265930004
1160,88,142990,928,0.00648996433317
689,89,142922,1002,0.007010817089041
164,90,142842,933,0.006531692359390001
305,91,142801,868,0.006078388806801001
1365,92,142708,839,0.0058791378198830005
1030,93,142625,861,0.006036809815950001
642,94,142490,865,0.006070601445715001
54,95,142368,750,0.005268037761294001
994,96,142120,709,0.004988741908246001
555,97,140191,794,0.0056637016641580004
1805,98,140090,773,0.005517881361981
1743,99,139926,786,0.005617254834698
1526,100,139799,784,0.005608051559739
75,101,136818,720,0.005262465465070001
983,102,136334,716,0.005251808059618001
583,103,107540,713,0.006630091128882001
1828,104,107445,641,0.005965842989436001
1752,105,107374,738,0.006873172276342001
1400,106,107289,675,0.0062914185051580005
203,107,107167,666,0.006214599643546001
1287,108,107110,645,0.0060218466996540005
1083,109,107076,635,0.005930367215809001
608,110,107030,575,0.005372325516210001
1493,111,106986,614,0.005739068663189
283,112,106861,624,0.005839361413424
1312,113,106812,642,0.0060105606111670005
1089,114,106772,649,0.006078372607050001
624,115,106653,588,0.005513206379567001
29,116,106610,602,0.005646749835850001
816,117,106499,562,0.005277044854881
586,118,106355,601,0.005650886183066001
1923,119,106297,566,0.005324703425308001
1700,120,106196,609,0.005734679272288001
1918,121,104384,546,0.005230686695278
1715,122,104077,467,0.004487062463368
1476,123,83986,516,0.006143881123044001
294,124,83967,483,0.005752259816356
1337,125,83942,502,0.005980319744585001
1142,126,83913,436,0.005195857614433
676,127,83849,467,0.005569535713007
70,128,83831,421,0.005022008564850001
898,129,83797,501,0.005978734322231001
493,130,83741,473,0.005648368182849001
618,131,83709,443,0.0052921430192690005
136,132,83634,450,0.005380586842671
831,133,83597,439,0.005251384619065
510,134,83567,466,0.005576363875692001
1894,135,83538,470,0.00562618209677
1760,136,83372,402,0.004821762702106
1433,137,83313,411,0.004933203701703
299,138,83079,428,0.005151723058775
1256,139,82972,452,0.005447620884153
1184,140,82907,392,0.004728189417057001
486,141,81721,422,0.005163911356933001
1915,142,81683,377,0.004615403449922
1673,143,66632,377,0.005657942129907
1564,144,66614,380,0.005704506560182
200,145,66576,366,0.005497476568132
1200,146,66552,457,0.0068668109147730005
1023,147,66516,359,0.005397197666726
629,148,66472,334,0.005024672042363
34,149,66429,382,0.005750500534405001
887,150,66393,335,0.005045712650430001
1099,151,66374,379,0.0057100671949850005
645,152,66366,369,0.0055600759425
131,153,66326,325,0.004900039200313001
800,154,66302,354,0.005339205453832
524,155,66286,323,0.004872823824035
1833,156,66200,308,0.00465256797583
1663,157,66174,285,0.004306827454891
1445,158,66159,328,0.004957753291313
314,159,66140,340,0.005140610825521
1251,160,66106,285,0.004311257677064
1165,161,65221,289,0.004431088146455001
657,162,65196,321,0.004923614945702
103,163,53705,272,0.005064705334698
941,164,53685,311,0.005793052062959001
415,165,53560,271,0.005059746079163
1961,166,53521,285,0.0053250126118710005
1607,167,53480,299,0.005590875093492
1545,168,53456,283,0.005294073630649001
386,169,53308,275,0.005158700382681
1281,170,53265,269,0.005050220595137001
1931,171,53246,270,0.005070803440634
1677,172,53211,248,0.004660690458739
1512,173,53202,284,0.005338145182511
260,174,53180,247,0.004644603234298
1343,175,53164,267,0.0050221954706190005
1095,176,53145,265,0.004986358076959001
771,177,53114,289,0.0054411266332790005
177,178,53072,210,0.0039568887548990005
953,179,53020,250,0.004715201810637001
414,180,53004,264,0.004980756169345
1288,181,52422,236,0.004501926672007
1084,182,52388,207,0.003951286554172
609,183,43809,200,0.0045652719760770006
76,184,43760,223,0.005095978062157
984,185,43709,257,0.005879795923036
584,186,43695,215,0.004920471449822
1829,187,43644,204,0.004674182018146
1753,188,43622,258,0.005914446838751
1401,189,43589,240,0.0055059762784180006
204,190,43563,233,0.005348575626104001
569,191,43537,215,0.004938328318441001
1810,192,43501,191,0.004390703661984001
1685,193,43490,199,0.004575764543573
1499,194,43486,164,0.00377132870349
225,195,43400,222,0.005115207373271
1328,196,43383,191,0.004402646197819
1011,197,43375,206,0.004749279538904001
633,198,43302,187,0.004318507228303001
45,199,43272,197,0.004552597522647001
967,200,43254,201,0.004646969066444
18,201,42812,175,0.004087638979725
892,202,42801,186,0.004345692857643
543,203,36058,182,0.005047423595318
1867,204,36047,207,0.0057425028435090005
1788,205,36036,171,0.004745254745254
1423,206,36010,191,0.005304082199389
384,207,35985,183,0.005085452271779
1385,208,35969,184,0.005115516138897
1049,209,35964,156,0.004337671004337
787,210,35950,188,0.005229485396383
1430,211,35935,168,0.004675107833588
394,212,35927,174,0.0048431541737410004
1262,213,35890,139,0.0038729451100580005
1017,214,35740,145,0.004057078903189001
728,215,35630,163,0.004574796519786001
62,216,35473,162,0.004566853663349001
859,217,35427,169,0.004770372879442
565,218,35398,167,0.004717780665574
1814,219,35264,142,0.0040267695099810005
1712,220,35235,137,0.0038881793671060004
677,221,34780,131,0.003766532489936
184,222,34718,149,0.004291721873379
905,223,29602,157,0.005303695696236
432,224,29525,150,0.005080440304826001
1873,225,29520,121,0.004098915989159
1722,226,29501,119,0.004033761567404
1410,227,29489,145,0.004917087727627
335,228,29478,133,0.004511839337811001
1289,229,29413,143,0.004861795804576001
1155,230,29393,121,0.004116626407648
1609,231,29342,127,0.00432826664849
1546,232,29166,148,0.005074401700610001
388,233,29072,137,0.004712438084755
1282,234,28992,142,0.004897902869757001
1166,235,28972,133,0.004590639237884
658,236,28961,115,0.003970857359897001
104,237,28948,126,0.004352632306204
942,238,28940,115,0.003973738769868
416,239,28923,129,0.004460118244995001
1962,240,28916,94,0.0032507954073860003
462,241,28609,116,0.004054668111433
1907,242,28595,113,0.0039517398146520005
1616,243,24667,113,0.004581019175416001
1575,244,24660,103,0.004176804541768
278,245,24619,107,0.004346236646492
1238,246,24604,126,0.005121118517314001
1056,247,24574,133,0.005412224302107
710,248,24549,111,0.004521569106684001
65,249,24526,127,0.005178178259805001
826,250,24452,96,0.0039260592180590005
1143,251,24390,96,0.003936039360393001
679,252,24381,110,0.004511709938066001
71,253,24376,109,0.004471611421069
899,254,24366,95,0.0038988754822290002
494,255,24349,95,0.0039015976015440005
1919,256,24286,87,0.0035823107963430002
1716,257,24279,122,0.00502491865398
1477,258,24269,98,0.004038073262186
295,259,24257,84,0.0034629179206
1338,260,24235,106,0.004373839488343001
917,261,24046,90,0.003742826249688
498,262,24040,82,0.003410981697171
1971,263,20795,90,0.004327963452753001
1600,264,20791,99,0.004761675725073001
1439,265,20783,105,0.00505220613001
345,266,20777,78,0.0037541512249120003
1317,267,20772,96,0.004621606008087
1036,268,20765,93,0.004478690103539001
737,269,20754,98,0.004721981304808
37,270,20750,82,0.0039518072289150006
1391,271,20746,92,0.004434589800443
1134,272,20742,79,0.0038086973290900003
704,273,20719,102,0.00492301752015
163,274,20702,76,0.0036711428847450004
851,275,20686,99,0.004785845499371001
516,276,20675,76,0.003675937122128
1980,277,20665,78,0.0037744979433820005
1657,278,20662,86,0.0041622301810080005
1558,279,20655,75,0.003631082062454
251,280,20651,80,0.003873904411408
1617,281,20508,69,0.0033645406670560003
1576,282,20504,76,0.0037065938353490003
279,283,17979,81,0.0045052561321540004
1239,284,17976,68,0.00378282153983
1057,285,17971,68,0.0037838740192530002
711,286,17969,63,0.00350603817686
66,287,17960,72,0.0040089086859680005
827,288,17955,68,0.003787245892509
463,289,17949,77,0.004289932586773001
1908,290,17946,61,0.00339908614733
185,291,17903,68,0.003798246104004
906,292,17872,59,0.003301253357206
433,293,17862,72,0.004030903594222
1874,294,17846,67,0.0037543427098500003
1723,295,17840,64,0.0035874439461880004
1411,296,17838,54,0.003027245206861
336,297,17827,75,0.004207101587479001
1291,298,17815,59,0.0033118158854890003
1156,299,17809,61,0.0034252344320280003
678,300,17801,62,0.0034829503960450005
1842,301,17657,68,0.0038511638443670003
1644,302,17592,65,0.0036948613005910002
1470,303,15432,59,0.0038232244686360003
234,304,15430,68,0.004406999351911
1215,305,15424,59,0.0038252074688790005
1061,306,15415,61,0.003957184560493
647,307,15192,64,0.004212743549236
157,308,15057,68,0.004516171880188
911,309,14976,61,0.004073183760683
467,310,14642,48,0.0032782406775030003
690,311,14638,59,0.004030605273944
165,312,14628,58,0.0039649986327590005
945,313,14622,48,0.003282724661469
575,314,14613,49,0.0033531786765200002
1903,315,14608,60,0.004107338444687
1653,316,14604,66,0.0045193097781420005
1505,317,14599,53,0.0036303856428520002
331,318,14587,38,0.0026050592993760004
1277,319,14578,48,0.0032926327342570005
1161,320,14571,55,0.003774620822181
1747,321,14450,54,0.0037370242214530003
1450,322,14443,67,0.004638925431004
240,323,12808,42,0.0032792004996870005
1348,324,12803,56,0.004373974849644
1066,325,12794,54,0.0042207284664680005
719,326,12793,70,0.005471742359102001
7,327,12781,39,0.0030514044284480004
862,328,12766,60,0.004699984333385
481,329,12763,42,0.003290762359946
1950,330,12756,37,0.0029005957980550003
30,331,12750,54,0.004235294117647
817,332,12748,41,0.003216190775023
587,333,12744,47,0.0036880100439420005
1924,334,12737,36,0.0028264112428350004
1701,335,12736,34,0.002669597989949
1494,336,12730,35,0.0027494108405340003
284,337,12711,50,0.003933600818188001
1313,338,12701,48,0.003779229981891
1090,339,12697,59,0.004646766952823
625,340,12689,58,0.004570888170856001
1932,341,12627,55,0.004355745624455
1678,342,12600,37,0.002936507936507
1513,343,11217,34,0.003031113488455
261,344,11211,53,0.004727499777004001
1344,345,11200,41,0.0036607142857140004
1096,346,11199,45,0.004018215912135001
772,347,11191,39,0.003484943257975
178,348,11190,32,0.002859696157283
954,349,11187,31,0.0027710735675330004
425,350,11184,39,0.0034871244635190004
643,351,11180,38,0.00339892665474
55,352,11180,35,0.0031305903398920003
996,353,11177,42,0.0037577167397330005
557,354,11173,38,0.0034010561174250002
1806,355,11173,30,0.0026850443032310004
1744,356,11168,36,0.0032234957020050004
1528,357,11166,33,0.0029554003224070004
306,358,11163,47,0.004210337722834001
1366,359,11161,39,0.0034943105456500005
1031,360,11156,34,0.003047687343133
315,361,11109,42,0.0037807183364830005
